id,preis,marke,model,bauform,kraftstoff,getriebe,ps,kilometerstand,erstzulassung,gebiet,verkaufsdatum
100000,1000,audi,80,limousine,benzin,manuell,90,150000,1994,25853,2016-03-20
100001,23750,volkswagen,golf,limousine,benzin,automatik,230,60000,2013,31812,2016-03-28
100002,6750,bmw,3er,coupe,benzin,automatik,192,100000,2001,24398,2016-04-07
100003,9750,volkswagen,kaefer,limousine,,,0,40000,1985,48163,2016-03-21
100004,19999,mercedes_benz,c_klasse,cabrio,benzin,manuell,156,40000,2011,74078,2016-03-17
100005,18500,volkswagen,passat,kombi,diesel,automatik,170,90000,2011,24966,2016-04-07
100006,1999,renault,clio,kleinwagen,,manuell,75,150000,2000,45329,2016-03-14
100007,3950,smart,fortwo,kleinwagen,benzin,automatik,61,40000,2008,79424,2016-03-28
100008,11900,jaguar,andere,limousine,benzin,automatik,238,125000,2004,22851,2016-04-06
100009,5445,mercedes_benz,a_klasse,limousine,diesel,manuell,109,150000,2007,83075,2016-04-05
100010,3300,mercedes_benz,e_klasse,limousine,diesel,manuell,143,150000,2001,28757,2016-04-06
100011,13450,mercedes_benz,slk,cabrio,benzin,manuell,0,50000,2006,84518,2016-04-07
100012,6650,opel,astra,cabrio,benzin,manuell,140,125000,2007,29308,2016-04-07
100013,800,daewoo,matiz,kleinwagen,benzin,manuell,52,100000,2002,19417,2016-03-29
100014,1000,opel,astra,limousine,benzin,manuell,0,150000,1997,39261,2016-04-07
100015,4200,audi,a2,kleinwagen,benzin,manuell,75,150000,2004,33813,2016-04-07
100016,900,opel,omega,kombi,benzin,automatik,0,150000,1997,32361,2016-03-08
100017,1999,seat,cordoba,kleinwagen,benzin,manuell,75,150000,2003,50739,2016-04-06
100018,2950,ford,mondeo,kombi,diesel,manuell,130,150000,2007,10247,2016-03-09
100019,27400,audi,q5,suv,diesel,automatik,170,90000,2011,58675,2016-04-06
100020,800,smart,fortwo,,diesel,,0,150000,2016,76771,2016-03-30
100021,13500,mini,cooper,cabrio,benzin,manuell,122,50000,2009,89134,2016-04-05
100022,1200,renault,clio,kleinwagen,benzin,manuell,75,150000,2002,25870,2016-03-15
100023,7200,hyundai,i_reihe,limousine,benzin,manuell,109,70000,2011,49124,2016-04-05
100024,1400,citroen,andere,kleinwagen,benzin,manuell,60,150000,2000,55425,2016-03-19